"","Category","Indicator","Element","Attribute","Rating","ElementRating","OverallRating"
"1","Protected","Right Whale Abundance","Specific","Described",1,0.833333333333333,0.65
"2","Protected","Right Whale Abundance","Specific","Units",1,0.833333333333333,0.65
"3","Protected","Right Whale Abundance","Specific","Spatial",1,0.833333333333333,0.65
"4","Protected","Right Whale Abundance","Specific","Uncertainty",1,0.833333333333333,0.65
"5","Protected","Right Whale Abundance","Specific","Methods",1,0.833333333333333,0.65
"6","Protected","Right Whale Abundance","Specific","Code",0,0.833333333333333,0.65
"7","Protected","Right Whale Abundance","Measurable","Available",1,1,0.65
"8","Protected","Right Whale Abundance","Measurable","Online",1,1,0.65
"9","Protected","Right Whale Abundance","Measurable","Contact",1,1,0.65
"10","Protected","Right Whale Abundance","Measurable","SourceDat",1,1,0.65
"11","Protected","Right Whale Abundance","Measurable","SourceAvail",1,1,0.65
"12","Protected","Right Whale Abundance","Measurable","SourceContact",1,1,0.65
"13","Protected","Right Whale Abundance","Achievable","Tested",0,0,0.65
"14","Protected","Right Whale Abundance","Achievable","Sensitivity",0,0,0.65
"15","Protected","Right Whale Abundance","Achievable","TimeLag",0,0,0.65
"16","Protected","Right Whale Abundance","Relevant","Advice",1,0.666666666666667,0.65
"17","Protected","Right Whale Abundance","Relevant","Implications",1,0.666666666666667,0.65
"18","Protected","Right Whale Abundance","Relevant","TargThresh",0,0.666666666666667,0.65
"19","Protected","Right Whale Abundance","Timebound","Frequency",1,0.75,0.65
"20","Protected","Right Whale Abundance","Timebound","Updated",0.5,0.75,0.65
